aarch64: en.wikipedia.org/wiki/AArch64
vercel: vercel.com
vertx: vertx.io
vim: vim.org
visualstudio: visualstudio.microsoft.com
vite: vite.org
vitejs: vitejs.dev
vscode: code.visualstudio.com
vsphere: vmware.com/ca/products/vsphere.html
vuejs: vuejs.org
vuestorefront: vuestorefront.io
vuetify: vuetifyjs.com
vyper: docs.vyperlang.org/en/stable
webassembly: webassembly.org
webflow: webflow.com
weblate: weblate.org/en-gb
webpack: webpack.js.org
webstorm: jetbrains.com/webstorm
woocommerce: woocommerce.com/
wordpress: wordpress.com
xamarin: dotnet.microsoft.com/en-us/apps/xamarin
xcode: developer.apple.com/xcode
xd: helpx.adobe.com/support/xd.html
xml: w3.org/standards/xml
yaml: yaml.org
yarn: yarnpkg.com
yii: yiiframework.com
yunohost: yunohost.org
zend: framework.zend.com
zig: ziglang.org
